country,state,period,mean_gap_pp,mean_investor_share,mean_migration_share
Australia,Australian Capital Territory,2004-05 to 2011-12,0.5946423828934507,1.8888804328318958,1.294238049938445
Australia,New South Wales,2004-05 to 2011-12,0.1651564671019193,30.6920225394069,30.52686607230498
Australia,Northern Territory,2004-05 to 2011-12,-0.15242097241652275,0.6881124735242873,0.84053344594081
Australia,Queensland,2004-05 to 2011-12,3.789996584738822,22.837645260851104,19.04764867611228
Australia,South Australia,2004-05 to 2011-12,0.43925567753577477,6.38958914999159,5.950333472455815
Australia,Tasmania,2004-05 to 2011-12,0.24999877357634748,0.9713494009215266,0.7213506273451791
Australia,Victoria,2004-05 to 2011-12,-2.501151807407621,23.542202521706297,26.043354329113917
Australia,Western Australia,2004-05 to 2011-12,-2.585477106022171,12.9901982207664,15.575675326788568
Australia,Australian Capital Territory,2012-13 to 2019-20,0.18159398027374365,1.8260764104683291,1.6444824301945857
Australia,New South Wales,2012-13 to 2019-20,7.4339924741129355,42.80424940038687,35.37025692627394
Australia,Northern Territory,2012-13 to 2019-20,-0.5605042163831367,0.4562228183724298,1.0167270347555666
Australia,Queensland,2012-13 to 2019-20,1.7997451458139844,15.823814720681817,14.02406957486783
Australia,South Australia,2012-13 to 2019-20,-0.9924894363205388,4.65534387992674,5.6478333162472785
Australia,Tasmania,2012-13 to 2019-20,-0.11710439666679119,0.9124557563559161,1.0295601530227072
Australia,Victoria,2012-13 to 2019-20,-5.240329684150403,26.348631545083173,31.588961229233576
Australia,Western Australia,2012-13 to 2019-20,-2.5049038666797947,7.173205468724719,9.678109335404516
Australia,Australian Capital Territory,2023-24 to 2024-25,0.24618933587130704,1.806662636903241,1.5604733010319343
Australia,New South Wales,2023-24 to 2024-25,7.386205310131173,38.11732787139744,30.731122561266268
Australia,Northern Territory,2023-24 to 2024-25,-0.5899679176050225,0.43797761310151345,1.027945530706536
Australia,Queensland,2023-24 to 2024-25,3.7932639133254704,21.357056721971247,17.56379280864578
Australia,South Australia,2023-24 to 2024-25,0.08988951094513337,5.835517128170793,5.74562761722566
Australia,Tasmania,2023-24 to 2024-25,-0.09430223193431049,0.8601396405600468,0.9544418724943573
Australia,Victoria,2023-24 to 2024-25,-7.9248652788797465,21.185952869858284,29.110818148738026
Australia,Western Australia,2023-24 to 2024-25,-2.906412641854005,10.399365518037435,13.30577815989144
