state,2004-05 to 2009-10,2014-15 to 2019-20,2023-24 to 2024-25,change_early_to_recent,change_precovid_to_recent
New South Wales,-1.2158837352452183,8.105440517188148,7.386205310131173,8.602089045376392,-0.7192352070569754
South Australia,0.1627225318962575,-1.1942906155981887,0.08988951094513337,-0.07283302095112412,1.2841801265433221
Australian Capital Territory,0.5258027484033755,0.08872921862625748,0.24618933587130704,-0.27961341253206845,0.15746011724504955
Tasmania,0.24671674751184364,-0.12436955796857563,-0.09430223193431049,-0.3410189794461541,0.030067326034265138
Northern Territory,-0.046627542027270055,-0.5301985362084662,-0.5899679176050225,-0.5433403755777525,-0.0597693813965563
Queensland,5.043643681183176,2.070843234077456,3.7932639133254704,-1.2503797678577055,1.7224206792480143
Western Australia,-0.24822871940041535,-2.4491502787654764,-2.906412641854005,-2.6581839224535897,-0.45726236308852863
Victoria,-4.468145712321748,-5.967003981351155,-7.9248652788797465,-3.4567195665579984,-1.9578612975285914
